GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,659.63,1469.67,2026.06,184.08,104.41,-81.98,-1376.84,-11702.49,722.66,7913.88,-1914.61,73.67,-80.93,-1840.94,-1921.87
4,657.75,1546.72,2056.29,191.9,101.08,-117.2,-1338.41,-11485.49,742.76,7800.0,-2051.74,79.47,155.39,-1972.27,-1816.88
7,681.92,1495.28,2041.83,187.94,116.61,-107.59,-1353.15,-11634.62,730.02,7840.88,-1987.62,77.6,-0.88,-1910.01,-1910.89
10,693.47,1492.15,2039.96,180.07,108.6,-99.85,-1320.72,-11519.46,729.56,7781.51,-2006.73,78.98,85.29,-1927.75,-1842.46
13,654.24,1501.23,2040.57,182.82,102.19,-91.38,-1329.38,-11614.5,760.61,7789.08,-1984.99,79.86,-4.51,-1905.13,-1909.64
16,663.21,1544.48,2061.98,190.47,102.84,-112.2,-1322.93,-11493.23,703.48,7855.98,-2099.63,81.31,194.07,-2018.31,-1824.25
19,673.75,1522.63,2052.62,191.65,100.78,-115.7,-1312.52,-11663.26,729.75,7851.74,-1969.46,81.39,31.45,-1888.07,-1856.62
22,724.52,1463.16,2047.66,184.33,93.84,-116.47,-1328.88,-11586.94,717.0,7883.85,-2022.91,81.41,82.08,-1941.5,-1859.42
25,698.13,1519.59,2023.91,179.66,105.83,-110.76,-1290.12,-11556.14,743.77,7810.51,-2043.34,80.79,124.39,-1962.55,-1838.16
28,658.4,1590.1,2028.02,186.84,98.88,-109.68,-1327.25,-11606.22,737.65,7891.43,-2045.25,79.59,148.18,-1965.66,-1817.48
31,645.19,1525.1,2023.19,176.07,94.76,-102.49,-1314.8,-11672.64,740.24,7920.1,-1987.56,78.64,34.72,-1908.93,-1874.21
34,656.28,1511.96,2062.21,178.47,102.07,-125.28,-1340.19,-11595.94,706.06,7807.66,-1976.1,77.68,-36.72,-1898.41,-1935.13
37,695.26,1513.86,2016.97,189.2,95.51,-91.52,-1329.12,-11600.29,729.91,7888.01,-2024.31,79.2,107.8,-1945.11,-1837.31
40,720.74,1471.71,2042.02,186.02,104.03,-131.79,-1306.94,-11452.84,721.49,7826.13,-2153.66,82.3,180.58,-2071.36,-1890.78
43,702.9,1513.88,2033.76,187.08,105.5,-90.97,-1332.3,-11571.83,714.9,7841.07,-2027.36,79.73,103.99,-1947.62,-1843.63
46,691.03,1528.09,2040.44,176.64,109.21,-123.14,-1305.95,-11499.23,745.65,7908.77,-2135.49,80.01,271.51,-2055.48,-1783.97
49,670.57,1461.4,2052.26,188.76,100.01,-102.04,-1295.93,-11624.14,721.47,7817.79,-1979.7,80.44,-9.85,-1899.26,-1909.11
52,668.52,1461.74,2024.49,180.69,105.72,-107.97,-1301.71,-11651.41,744.02,7853.09,-1971.99,79.39,-22.82,-1892.6,-1915.42
55,682.17,1433.26,2052.87,175.04,96.91,-95.27,-1324.5,-11758.01,736.32,7879.94,-1906.74,76.88,-121.26,-1829.85,-1951.11
58,695.8,1515.9,2014.99,184.38,87.77,-85.54,-1323.77,-11632.45,731.04,7825.0,-1983.47,79.43,13.12,-1904.04,-1890.92
61,702.39,1467.48,2028.52,184.96,111.5,-108.74,-1313.17,-11563.3,708.69,7871.19,-2072.25,79.82,89.52,-1992.43,-1902.91
64,656.95,1564.34,2069.05,187.2,103.15,-106.69,-1350.76,-11531.17,733.25,7814.85,-2055.34,78.3,140.17,-1977.04,-1836.87
67,689.54,1465.15,2060.14,170.99,103.65,-110.68,-1314.89,-11579.43,735.58,7848.02,-2035.69,79.01,68.09,-1956.68,-1888.59
70,672.16,1511.15,2038.12,185.71,102.09,-87.32,-1313.51,-11641.43,754.63,7797.66,-1957.28,80.03,19.27,-1877.25,-1857.98
73,700.06,1545.43,2043.21,195.36,101.41,-106.4,-1320.47,-11435.28,715.44,7770.79,-2146.36,81.5,209.55,-2064.85,-1855.3
76,709.87,1544.49,2023.5,191.93,89.47,-103.82,-1312.6,-11608.54,731.98,7849.23,-2006.06,79.55,115.51,-1926.51,-1811.0
79,685.15,1534.88,2056.52,188.01,98.82,-99.79,-1297.53,-11487.57,710.19,7770.75,-2102.61,82.81,159.43,-2019.81,-1860.38
