POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,682.53,1483.23,2090.39,178.96,112.67,-113.54,-1350.1,-11625.94,710.78,7920.21,-1962.08,53.07,0.0,89.19,-1909.01,-1819.83
4,648.95,1504.68,2040.04,188.6,114.26,-112.73,-1341.33,-11501.7,726.43,7899.03,-2054.98,54.45,0.0,166.23,-2000.52,-1834.3
7,667.04,1600.85,2063.46,189.59,108.25,-112.44,-1329.36,-11501.29,711.89,7881.51,-2063.67,54.75,0.0,279.5,-2008.92,-1729.43
10,657.82,1524.53,2051.99,183.19,102.91,-103.18,-1326.79,-11504.39,722.52,7837.47,-2037.42,55.53,0.0,146.09,-1981.89,-1835.8
13,675.56,1521.83,2029.23,188.89,122.83,-85.81,-1312.94,-11463.73,732.47,7949.35,-2152.71,56.08,0.0,357.67,-2096.63,-1738.96
16,681.19,1507.41,2043.73,186.78,98.08,-117.65,-1330.52,-11494.46,714.09,7844.76,-2014.98,54.86,0.0,133.42,-1960.12,-1826.7
19,699.93,1484.3,2035.11,180.52,91.9,-113.1,-1299.52,-11474.33,729.45,7893.74,-2089.02,54.68,0.0,228.0,-2034.34,-1806.35
22,687.26,1466.42,2029.31,182.27,97.38,-98.11,-1304.06,-11417.55,724.44,7805.28,-2065.0,54.76,0.0,172.63,-2010.24,-1837.61
25,673.55,1493.77,2040.74,179.23,96.79,-84.92,-1329.9,-11394.82,732.27,7822.13,-2074.58,55.01,0.0,228.83,-2019.56,-1790.73
28,680.47,1554.18,2031.51,196.45,103.92,-111.51,-1332.08,-11339.31,728.43,7750.59,-2120.54,55.56,0.0,262.66,-2064.97,-1802.31
31,663.32,1525.18,2058.59,195.34,112.52,-97.13,-1301.07,-11302.24,730.05,7771.17,-2126.69,55.91,0.0,355.71,-2070.79,-1715.07
34,681.61,1479.12,2064.52,178.6,100.09,-103.84,-1334.29,-11436.21,725.29,7750.84,-2010.3,55.78,0.0,105.73,-1954.53,-1848.8
37,631.82,1533.95,2012.84,182.75,105.04,-84.11,-1313.13,-11359.56,743.14,7804.36,-2116.74,56.5,0.0,257.09,-2060.24,-1803.14
40,712.48,1514.82,2048.11,188.65,111.88,-121.48,-1321.5,-11382.16,723.51,7740.86,-2062.82,55.71,0.0,215.17,-2007.11,-1791.94
43,689.34,1547.78,2052.05,188.95,111.61,-119.06,-1298.12,-11484.35,703.57,7807.89,-2047.69,58.15,0.0,199.67,-1989.55,-1789.88
46,693.79,1522.12,2034.31,190.27,100.92,-105.49,-1291.37,-11464.61,724.63,7837.77,-2061.37,57.76,0.0,242.33,-2003.62,-1761.29
49,711.84,1526.25,2062.56,183.37,95.73,-125.32,-1354.75,-11407.87,730.31,7771.67,-2019.23,55.71,0.0,193.77,-1963.52,-1769.75
52,696.17,1532.88,2029.75,188.42,111.47,-106.7,-1332.94,-11528.17,713.64,7842.28,-2015.47,55.92,0.0,146.79,-1959.55,-1812.76
55,692.74,1535.96,2029.48,192.88,109.79,-114.02,-1330.98,-11555.33,722.0,7787.5,-1954.03,54.8,0.0,70.02,-1899.23,-1829.2
58,645.13,1491.58,2035.92,174.78,98.31,-103.71,-1363.19,-11390.33,712.42,7811.3,-2049.58,55.08,0.0,112.21,-1994.5,-1882.3
61,674.99,1485.27,2044.03,182.94,104.43,-112.42,-1330.11,-11516.76,738.62,7838.08,-2009.75,54.98,0.0,109.06,-1954.77,-1845.71
64,694.31,1451.57,2080.87,191.22,98.17,-120.06,-1321.98,-11295.24,734.48,7789.4,-2135.62,55.32,0.0,302.74,-2080.3,-1777.56
67,661.58,1519.36,2034.69,188.08,104.7,-104.26,-1329.83,-11390.71,713.81,7787.52,-2083.19,55.49,0.0,184.94,-2027.7,-1842.76
70,680.44,1569.5,2049.92,187.65,105.75,-104.38,-1336.16,-11372.48,733.51,7833.19,-2121.59,54.96,0.0,346.96,-2066.63,-1719.67
