POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,618.38,1492.76,2062.95,189.01,94.4,-99.83,-1374.47,-11718.78,742.15,8006.04,-2022.33,52.47,0.0,12.61,-1969.86,-1957.25
4,684.97,1475.4,2046.79,186.84,94.76,-119.03,-1335.23,-11580.51,739.83,7976.86,-2103.83,54.51,0.0,170.66,-2049.32,-1878.66
7,676.76,1538.63,2038.07,183.99,93.76,-99.14,-1329.34,-11558.4,710.22,7902.06,-2078.19,54.85,0.0,156.6,-2023.34,-1866.74
10,665.76,1484.8,2078.03,185.07,107.01,-121.01,-1325.49,-11612.63,726.62,7912.74,-2088.42,55.45,0.0,100.89,-2032.98,-1932.08
13,707.39,1524.83,2023.2,189.29,106.43,-90.83,-1330.62,-11570.12,721.24,7883.21,-2103.3,55.21,0.0,164.02,-2048.09,-1884.06
16,722.91,1544.96,2060.36,180.86,110.86,-119.51,-1320.36,-11481.42,719.58,7851.73,-2109.4,56.4,0.0,269.97,-2053.0,-1783.04
19,666.49,1513.77,2015.19,172.93,99.25,-97.01,-1324.35,-11663.45,735.34,7910.88,-2074.26,56.12,0.0,29.05,-2018.14,-1989.09
22,681.33,1521.67,2045.04,183.08,108.34,-110.33,-1344.31,-11614.02,731.16,7893.6,-2072.4,55.44,0.0,95.56,-2016.96,-1921.4
25,686.09,1498.9,2095.07,181.8,108.62,-88.5,-1347.78,-11455.95,723.38,7907.95,-2218.32,54.14,0.0,309.58,-2164.18,-1854.6
28,682.57,1574.99,2090.34,201.2,109.81,-108.62,-1347.21,-11355.86,714.82,7808.75,-2240.53,55.04,0.0,370.78,-2185.49,-1814.71
31,682.0,1559.11,2037.69,194.14,92.95,-120.79,-1313.01,-11409.85,709.41,7832.48,-2235.13,56.2,0.0,264.14,-2178.93,-1914.79
34,674.87,1522.09,2046.9,185.23,102.46,-108.61,-1357.83,-11409.1,699.73,7921.35,-2212.45,55.74,0.0,277.08,-2156.71,-1879.63
