POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,655.13,1526.03,2060.37,180.53,97.47,-102.97,-1383.52,-11685.31,749.56,7973.87,-1962.27,52.81,0.0,71.16,-1909.46,-1838.3
4,692.22,1539.48,2076.44,189.85,111.64,-105.98,-1361.19,-11566.85,747.3,7848.9,-2005.72,55.08,0.0,171.81,-1950.64,-1778.83
7,643.19,1534.97,2054.47,190.28,99.78,-103.36,-1340.76,-11520.99,731.79,7865.8,-2054.85,53.59,0.0,155.16,-2001.26,-1846.1
10,678.1,1490.76,2022.54,174.07,107.91,-117.13,-1320.12,-11570.72,764.11,7887.84,-2026.82,53.78,0.0,117.35,-1973.04,-1855.69
13,653.99,1586.52,2026.06,184.79,104.07,-116.12,-1371.05,-11468.47,746.21,7791.26,-2045.13,53.83,0.0,137.27,-1991.3,-1854.03
16,681.68,1549.15,2065.83,186.07,116.44,-114.37,-1367.32,-11507.2,719.8,7843.45,-2042.19,53.67,0.0,173.52,-1988.52,-1815.0
19,664.15,1529.23,2079.2,187.25,102.17,-94.17,-1344.67,-11624.43,752.56,7843.4,-1945.32,52.64,0.0,94.7,-1892.68,-1797.98
22,677.81,1545.35,2030.95,186.41,126.79,-102.19,-1364.15,-11568.57,734.03,7825.86,-1975.71,54.21,0.0,92.3,-1921.51,-1829.21
25,633.31,1451.06,2050.6,177.13,102.74,-116.03,-1316.46,-11638.88,748.15,7908.51,-1997.06,54.21,0.0,0.14,-1942.85,-1942.71
28,671.95,1521.76,2002.92,192.98,111.86,-94.24,-1334.99,-11444.61,743.07,7822.58,-2109.56,54.63,0.0,193.26,-2054.94,-1861.68
31,715.02,1549.82,2048.04,191.24,98.11,-114.53,-1340.16,-11359.01,740.47,7918.24,-2268.25,55.82,0.0,447.25,-2212.42,-1765.17
34,658.58,1557.08,2027.94,188.63,104.4,-94.62,-1344.61,-11317.48,727.12,7808.48,-2228.77,55.07,0.0,315.52,-2173.7,-1858.18
37,692.99,1540.89,2042.6,188.6,109.34,-125.2,-1348.29,-11429.42,725.02,7923.24,-2179.13,55.73,0.0,319.77,-2123.4,-1803.63
40,715.94,1531.97,2048.99,182.39,102.92,-91.39,-1342.12,-11620.46,741.06,7907.59,-2051.03,53.54,0.0,176.89,-1997.49,-1820.6
43,734.88,1491.33,2068.43,186.22,95.73,-110.32,-1353.45,-11491.51,744.03,7809.0,-2070.76,55.01,0.0,174.34,-2015.75,-1841.41
