Frames,TDC
1,10.04
4,-8.96
7,-2.87
10,-10.64
13,4.86
16,35.43
19,0.8
22,3.71
25,17.82
28,9.6
31,21.53
34,4.75
37,2.11
40,3.22
43,-7.87
46,1.91
49,12.25
52,15.92
55,27.58
58,2.41
61,-7.26
64,19.27
67,-5.75
70,11.12
73,13.43
76,30.47
79,4.39
82,21.34
85,2.04
88,-4.56
91,7.09
94,4.96
97,8.52
100,-0.79
103,1.59
106,7.18
109,-0.49
112,-5.05
115,-8.98
118,24.56
121,21.11
124,3.3
127,-23.11
130,10.87
133,14.33
136,46.4
139,5.88
142,-13.3
145,8.25
148,11.32
151,-6.74
154,5.73
157,24.15
160,17.95
163,8.52
166,10.65
169,4.93
172,-0.87
175,0.23
178,-1.49
181,24.92
184,16.66
187,6.43
190,8.97
193,-4.93
196,18.61
199,13.59
202,3.46
205,-0.22
208,24.15
211,-1.04
214,-5.49
217,-28.01
220,22.31
223,-8.52
226,6.84
229,8.87
232,30.75
235,16.58
238,12.83
241,8.13
244,-7.16
247,17.64
250,-23.24
253,11.27
256,-2.13
259,7.63
262,11.22
265,2.65
268,9.49
271,3.01
274,6.44
277,4.26
280,4.23
283,6.95
286,1.04
289,-11.55
292,0.96
295,-18.44
298,9.22
301,-2.19
304,0.59
307,5.3
310,5.21
313,-14.17
316,5.8
319,6.05
322,2.77
325,-0.4
328,0.04
331,1.94
334,-8.49
337,9.93
340,0.49
343,-9.71
346,1.22
349,7.57
352,4.11
355,20.24
358,20.37
361,21.36
364,22.88
367,14.19
370,23.88
373,4.57
376,-16.25
379,6.63
382,16.82
385,31.53
388,-16.0
391,16.05
394,21.59
397,8.31
400,13.5
403,11.02
406,1.91
409,-13.32
412,4.54
415,-3.57
418,10.29
421,29.56
424,23.97
427,21.78
430,17.4
433,9.69
436,9.32
439,-9.48
442,18.43
445,9.55
448,2.25
451,19.58
454,9.78
457,43.13
460,29.02
463,24.64
466,-1.49
469,7.88
472,30.34
475,-1.02
478,20.94
481,14.67
484,17.12
487,1.3
490,13.04
493,12.9
496,-4.73
499,17.24
502,-10.22
505,-5.38
508,-3.07
511,-5.66
514,38.65
517,25.15
520,20.0
523,8.94
526,2.57
529,17.49
532,20.29
535,23.99
538,7.48
541,-8.88
544,5.17
547,7.34
550,-5.78
553,-14.37
556,-1.88
559,11.77
562,6.87
565,11.71
568,25.5
571,-2.74
574,-5.19
577,15.19
580,13.58
583,52.12
586,5.95
589,2.92
592,-2.92
595,6.0
598,-2.78
601,-3.55
604,11.56
607,11.82
610,5.03
613,17.24
616,17.55
619,-12.62
622,7.71
625,19.37
628,-7.1
631,1.04
634,5.82
637,-1.94
640,0.95
643,18.95
646,25.44
649,26.99
652,22.22
655,1.72
658,10.22
661,19.15
664,2.23
667,-5.93
670,14.36
673,-1.18
676,-8.67
679,-20.41
682,22.09
685,4.78
688,18.9
691,19.25
694,0.61
697,-4.49
700,16.38
703,-3.14
706,34.55
709,-1.39
712,11.5
715,7.18
718,8.94
721,24.8
724,-5.44
727,10.37
730,22.24
733,14.99
736,16.19
739,-9.18
742,-1.02
745,-16.07
748,8.37
751,3.5
754,-9.91
757,1.11
760,0.06
763,23.35
766,19.67
769,30.47
772,9.7
775,-1.31
778,15.07
781,5.66
784,3.88
787,23.77
790,-1.5
793,-12.87
796,21.25
799,-3.59
802,-18.47
805,-8.69
808,-10.12
811,0.68
814,-1.88
817,-13.82
820,-8.39
823,-5.01
826,0.92
829,-2.67
832,4.11
835,8.09
838,9.96
841,-2.26
844,-0.79
847,9.75
850,20.96
853,4.43
856,-20.47
859,-8.23
862,-7.33
865,-0.63
868,-4.59
871,16.38
874,-8.92
877,5.77
880,0.36
883,-14.42
886,9.12
889,-10.97
892,6.46
895,22.43
898,33.25
901,-18.73
904,9.84
907,8.7
910,18.29
913,4.17
916,20.96
919,14.83
922,15.21
925,25.47
928,-19.8
931,20.88
934,15.32
937,20.16
940,31.4
943,15.47
946,4.43
949,-5.01
952,-4.86
955,14.64
958,21.99
961,42.77
964,-2.88
967,21.64
970,8.62
973,19.74
976,-5.13
979,16.21
982,1.19
985,-9.18
988,20.19
991,5.19
994,1.21
997,-3.72
1000,-8.94
