POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,693.66,1492.68,2063.81,186.56,89.94,-90.23,-1362.73,-11684.41,724.69,7803.26,-1959.95,52.8,0.0,-82.77,-1907.15,-1989.92
4,659.61,1489.39,2071.34,185.45,95.76,-104.89,-1343.41,-11711.69,719.98,7838.56,-1941.31,54.6,0.0,-99.9,-1886.71,-1986.61
7,675.27,1525.46,2036.51,193.14,106.74,-118.18,-1338.06,-11616.04,734.52,7773.49,-2028.4,54.54,0.0,-27.16,-1973.87,-2001.03
10,674.47,1595.95,2055.06,192.88,103.76,-112.32,-1353.21,-11547.88,728.15,7731.07,-2077.13,55.3,0.0,67.94,-2021.83,-1953.89
13,656.05,1565.07,2032.6,192.01,110.15,-102.72,-1323.83,-11598.13,729.56,7720.28,-2009.93,54.4,0.0,-18.96,-1955.53,-1974.49
16,679.25,1536.64,2058.37,190.97,113.89,-111.33,-1320.51,-11513.89,741.4,7726.73,-2108.43,55.46,0.0,101.52,-2052.97,-1951.45
19,685.5,1515.22,2081.97,189.51,105.05,-102.08,-1335.12,-11585.39,726.05,7753.35,-2011.18,55.47,0.0,34.07,-1955.71,-1921.63
22,667.72,1539.72,2017.82,176.66,97.56,-90.25,-1314.36,-11607.18,731.28,7810.59,-2036.77,55.49,0.0,29.57,-1981.28,-1951.71
25,690.51,1476.73,2059.72,179.46,99.99,-106.43,-1274.27,-11471.78,718.19,7716.0,-2115.15,56.27,0.0,88.11,-2058.87,-1970.76
28,657.12,1493.79,2062.78,192.62,107.15,-109.29,-1329.36,-11571.13,712.47,7783.8,-2082.27,55.91,0.0,-0.05,-2026.36,-2026.41
31,704.47,1506.01,2023.73,182.45,91.65,-95.92,-1304.07,-11478.19,728.36,7693.34,-2115.3,56.26,0.0,51.82,-2059.04,-2007.22
34,699.93,1517.76,2045.08,186.39,103.1,-89.45,-1344.79,-11555.8,696.88,7669.8,-2012.57,55.61,0.0,-71.11,-1956.95,-2028.07
37,690.6,1512.45,2032.32,186.1,108.53,-89.9,-1319.12,-11570.87,713.72,7775.54,-2071.05,55.67,0.0,39.38,-2015.38,-1976.0
40,707.61,1502.12,2043.61,190.36,90.95,-86.02,-1330.6,-11545.61,709.16,7750.76,-2030.41,56.22,0.0,32.35,-1974.19,-1941.84
43,665.15,1482.32,2031.29,181.48,104.55,-81.81,-1338.27,-11505.92,741.27,7771.38,-2103.7,55.14,0.0,51.44,-2048.56,-1997.12
46,734.9,1531.16,2052.84,195.98,110.66,-88.31,-1347.33,-11460.4,696.85,7740.67,-2091.63,55.39,0.0,167.02,-2036.24,-1869.22
49,729.76,1519.46,2033.82,194.19,99.5,-84.51,-1319.21,-11462.97,715.7,7812.41,-2209.99,56.43,0.0,238.14,-2153.55,-1915.42
52,661.91,1493.99,2067.86,186.11,102.61,-96.61,-1297.35,-11574.53,726.07,7777.53,-2108.98,55.54,0.0,47.59,-2053.44,-2005.85
55,687.48,1563.12,2022.55,190.11,112.37,-89.91,-1324.95,-11374.06,721.16,7700.65,-2167.3,55.17,0.0,208.53,-2112.12,-1903.59
58,725.08,1532.28,2054.51,181.47,112.44,-95.51,-1333.16,-11626.81,713.85,7800.88,-2022.85,55.74,0.0,65.04,-1967.11,-1902.07
61,687.25,1526.45,2045.48,184.69,107.08,-94.61,-1339.08,-11538.84,737.77,7817.54,-2116.55,55.3,0.0,133.72,-2061.25,-1927.53
64,675.59,1584.84,2051.75,192.0,109.61,-89.18,-1332.91,-11416.78,736.83,7684.03,-2148.8,56.61,0.0,195.76,-2092.19,-1896.43
67,679.35,1514.83,2067.68,189.62,96.53,-97.56,-1328.48,-11494.43,721.01,7696.59,-2112.64,56.43,0.0,45.14,-2056.21,-2011.07
70,705.62,1516.08,2045.34,180.03,92.47,-83.27,-1327.12,-11573.99,726.82,7764.18,-2066.54,56.33,0.0,46.15,-2010.21,-1964.06
73,644.77,1538.5,2034.0,185.89,93.35,-103.71,-1323.38,-11615.61,734.4,7744.49,-1997.82,55.15,0.0,-67.29,-1942.67,-2009.96
76,709.91,1530.41,2052.17,182.97,101.77,-97.76,-1333.27,-11519.54,716.8,7750.9,-2096.94,56.1,0.0,94.37,-2040.84,-1946.46
79,670.6,1518.17,2071.38,186.06,93.63,-101.84,-1328.0,-11533.44,732.76,7776.66,-2124.05,55.72,0.0,85.98,-2068.33,-1982.35
82,723.5,1522.6,2081.73,197.35,97.41,-106.28,-1310.98,-11534.62,721.38,7774.3,-2115.46,56.73,0.0,166.39,-2058.73,-1892.34
85,713.57,1476.31,2043.48,183.02,119.24,-93.99,-1323.46,-11435.36,727.09,7762.58,-2172.14,55.96,0.0,172.48,-2116.18,-1943.7
88,670.49,1512.65,2014.47,179.19,97.18,-87.76,-1312.35,-11352.31,719.47,7685.79,-2201.68,55.66,0.0,126.81,-2146.02,-2019.21
91,660.06,1505.32,2053.82,181.68,95.86,-106.3,-1354.64,-11578.66,710.93,7829.86,-2092.64,54.32,0.0,-2.07,-2038.31,-2040.38
94,696.02,1526.14,2028.18,191.49,109.92,-98.77,-1304.32,-11471.12,711.31,7693.24,-2155.12,56.46,0.0,82.09,-2098.66,-2016.57
97,699.71,1544.82,2045.83,188.55,110.93,-106.0,-1335.93,-11450.35,713.14,7679.62,-2127.1,54.71,0.0,90.32,-2072.39,-1982.07
100,680.95,1544.98,2056.46,185.88,101.76,-111.93,-1308.95,-11590.58,724.3,7744.15,-2091.18,54.92,0.0,27.02,-2036.26,-2009.24
103,673.49,1530.0,2028.14,183.52,99.1,-96.96,-1308.0,-11557.13,739.74,7753.54,-2057.78,55.6,0.0,45.42,-2002.18,-1956.76
106,672.99,1496.56,2058.24,186.65,105.14,-83.85,-1332.87,-11575.79,728.7,7785.8,-2043.26,53.95,0.0,41.57,-1989.31,-1947.74
109,685.15,1526.8,2020.99,186.9,101.76,-90.88,-1323.31,-11604.56,731.94,7794.88,-2042.05,55.68,0.0,29.67,-1986.36,-1956.69
112,705.1,1492.66,2034.4,189.38,116.73,-104.88,-1281.48,-11524.31,727.7,7717.98,-2103.5,56.77,0.0,73.28,-2046.74,-1973.46
115,664.72,1525.97,2051.03,183.87,104.11,-118.9,-1332.61,-11601.66,711.75,7709.21,-1997.93,55.56,0.0,-102.52,-1942.37,-2044.89
118,677.27,1504.23,2087.57,188.5,100.23,-129.08,-1329.57,-11612.97,723.33,7724.34,-2010.7,55.54,0.0,-66.16,-1955.16,-2021.32
121,710.18,1527.1,2017.0,188.24,99.46,-112.76,-1297.02,-11477.99,701.47,7737.03,-2119.25,55.48,0.0,92.72,-2063.77,-1971.05
124,726.45,1509.06,2044.99,190.24,101.72,-121.55,-1303.28,-11472.07,729.28,7787.87,-2194.31,56.45,0.0,192.71,-2137.87,-1945.16
127,685.72,1507.13,2045.8,182.94,111.74,-107.85,-1282.37,-11635.52,732.94,7756.98,-2038.63,55.14,0.0,-2.48,-1983.49,-1985.97
130,676.35,1457.66,2039.72,177.67,108.34,-127.04,-1316.09,-11493.54,747.44,7759.54,-2118.31,55.26,0.0,30.06,-2063.05,-2032.99
133,648.78,1537.36,2032.61,186.69,104.38,-104.02,-1323.98,-11612.23,729.5,7720.53,-2009.52,53.33,0.0,-80.37,-1956.19,-2036.56
136,673.52,1543.71,2055.81,181.51,92.8,-108.1,-1302.38,-11510.34,722.06,7746.35,-2079.04,54.28,0.0,94.95,-2024.76,-1929.81
139,702.62,1485.97,2032.09,186.1,103.04,-107.14,-1315.97,-11683.98,706.34,7797.27,-1990.96,54.6,0.0,-93.67,-1936.36,-2030.03
142,680.67,1495.96,2033.99,190.12,102.55,-124.74,-1314.32,-11645.48,738.02,7786.22,-2028.08,55.28,0.0,-57.01,-1972.8,-2029.81
145,712.13,1458.64,2089.72,189.43,108.51,-136.21,-1311.88,-11534.3,719.98,7731.68,-2072.41,54.31,0.0,27.69,-2018.1,-1990.41
148,687.21,1550.56,2060.61,178.47,93.74,-108.5,-1314.65,-11645.14,705.67,7721.97,-1998.43,55.39,0.0,-70.07,-1943.04,-2013.1
151,688.42,1467.73,2040.4,182.78,106.3,-132.35,-1334.89,-11543.54,711.24,7753.64,-2066.67,54.89,0.0,-60.26,-2011.78,-2072.04
154,775.57,1532.08,2055.75,193.54,108.05,-111.16,-1326.37,-11461.1,701.16,7648.49,-2093.93,55.11,0.0,116.02,-2038.82,-1922.8
157,696.66,1517.47,2049.63,200.9,97.56,-108.65,-1317.41,-11643.28,732.5,7783.37,-2017.46,54.38,0.0,8.76,-1963.07,-1954.31
160,655.73,1536.95,2087.63,192.88,110.85,-113.06,-1330.01,-11583.34,740.71,7822.16,-2080.1,54.74,0.0,120.5,-2025.36,-1904.86
163,673.74,1508.93,2035.06,189.42,102.44,-138.96,-1329.4,-11488.73,716.2,7721.05,-2072.56,54.87,0.0,-10.25,-2017.69,-2027.93
166,662.9,1522.5,2049.44,175.27,111.21,-128.9,-1332.91,-11507.2,727.83,7710.16,-2097.59,54.66,0.0,-9.71,-2042.94,-2052.65
169,709.14,1541.95,2020.7,189.85,100.57,-110.3,-1333.38,-11598.7,726.33,7827.92,-2089.29,54.81,0.0,74.08,-2034.48,-1960.4
172,694.35,1484.69,2024.78,190.21,97.43,-106.45,-1293.69,-11655.72,734.49,7851.87,-2046.19,55.82,0.0,21.96,-1990.36,-1968.4
175,664.91,1524.16,2040.29,183.43,93.61,-108.12,-1322.66,-11579.03,725.63,7730.84,-2029.02,54.79,0.0,-46.94,-1974.23,-2021.17
178,695.43,1558.24,2030.33,186.21,103.97,-120.06,-1345.37,-11539.24,704.08,7661.94,-2001.98,55.27,0.0,-64.46,-1946.71,-2011.17
181,691.35,1529.55,2051.33,179.92,103.89,-130.29,-1324.19,-11511.2,714.56,7722.67,-2086.07,55.76,0.0,27.58,-2030.31,-2002.73
184,687.65,1511.44,2012.57,198.59,106.77,-113.2,-1288.54,-11490.84,733.46,7753.25,-2178.89,55.9,0.0,111.15,-2122.99,-2011.84
187,665.25,1501.27,2065.69,190.66,106.58,-105.79,-1331.06,-11568.34,730.21,7717.19,-2061.44,55.18,0.0,-28.34,-2006.27,-2034.61
190,678.55,1484.61,2028.78,190.91,92.32,-108.59,-1326.1,-11595.61,731.0,7807.2,-2060.65,54.82,0.0,-16.94,-2005.83,-2022.77
193,663.27,1494.09,2060.04,182.51,90.29,-109.08,-1321.38,-11486.39,728.44,7772.62,-2172.88,55.0,0.0,74.41,-2117.88,-2043.47
196,667.89,1552.02,2048.94,191.38,110.21,-105.05,-1316.9,-11607.3,727.98,7735.83,-2063.64,54.37,0.0,5.0,-2009.26,-2004.26
199,683.55,1473.7,2050.04,180.16,102.49,-113.58,-1367.09,-11540.47,710.28,7779.12,-2073.72,55.0,0.0,-41.81,-2018.72,-2060.53
202,679.82,1475.82,2010.79,185.53,100.78,-104.39,-1294.46,-11622.91,722.75,7774.84,-2036.06,55.26,0.0,-71.43,-1980.79,-2052.22
205,690.98,1492.16,2088.13,187.98,103.52,-111.88,-1325.72,-11588.53,705.74,7761.08,-2093.77,55.51,0.0,3.47,-2038.26,-2034.8
208,652.73,1540.69,2041.15,191.76,96.27,-115.44,-1346.66,-11427.79,721.6,7738.95,-2140.17,54.87,0.0,93.26,-2085.3,-1992.05
211,738.13,1525.83,2064.68,178.99,97.74,-119.25,-1340.69,-11566.1,710.85,7765.85,-2064.25,54.57,0.0,56.03,-2009.68,-1953.66
214,737.78,1450.79,2048.01,186.66,104.5,-119.15,-1309.37,-11520.73,723.19,7708.69,-2102.7,55.25,0.0,10.38,-2047.45,-2037.07
217,693.11,1467.29,2033.44,184.37,95.2,-117.34,-1314.03,-11562.42,733.81,7708.09,-2053.38,55.16,0.0,-78.49,-1998.22,-2076.71
220,691.74,1550.53,2066.48,171.21,93.68,-114.3,-1303.4,-11510.49,719.42,7737.89,-2107.48,54.81,0.0,102.75,-2052.68,-1949.93
223,691.1,1502.22,2055.63,186.96,113.44,-118.44,-1334.37,-11483.28,721.68,7763.1,-2158.17,56.09,0.0,98.03,-2102.08,-2004.05
226,710.16,1482.47,2033.4,184.48,112.2,-114.46,-1335.72,-11523.5,707.96,7764.69,-2090.6,54.82,0.0,21.68,-2035.78,-2014.1
229,723.75,1503.11,2048.41,190.66,96.23,-106.38,-1322.94,-11664.65,737.97,7737.32,-1950.62,53.97,0.0,-56.52,-1896.64,-1953.16
232,687.59,1509.93,2048.2,188.09,94.96,-102.35,-1323.26,-11650.49,719.14,7809.13,-2044.23,54.04,0.0,-19.07,-1990.19,-2009.26
235,683.28,1499.75,2050.61,187.1,100.54,-104.61,-1320.24,-11556.73,724.93,7713.41,-2008.42,54.87,0.0,-21.97,-1953.55,-1975.52
238,676.82,1432.46,2012.61,182.54,100.99,-109.32,-1308.18,-11568.66,740.08,7797.9,-2068.67,54.74,0.0,-42.77,-2013.93,-2056.7
241,700.92,1453.91,2060.63,188.58,109.19,-102.87,-1329.34,-11617.33,727.4,7754.7,-2048.92,55.34,0.0,-54.2,-1993.57,-2047.77
244,685.71,1494.92,2041.07,187.98,107.84,-94.06,-1326.29,-11670.08,729.97,7801.63,-1994.86,54.97,0.0,-41.3,-1939.89,-1981.19
247,713.26,1495.04,2025.71,194.71,95.13,-108.07,-1315.34,-11462.72,730.97,7773.36,-2156.3,55.72,0.0,142.05,-2100.58,-1958.53
250,649.49,1534.35,2042.4,178.52,99.13,-96.8,-1293.19,-11649.16,722.69,7781.32,-2044.88,55.59,0.0,-31.25,-1989.29,-2020.53
253,702.06,1536.02,2035.17,200.88,100.69,-126.06,-1300.34,-11627.2,741.2,7719.83,-2028.3,56.15,0.0,-17.76,-1972.15,-1989.91
256,679.32,1502.41,2033.66,187.62,97.58,-103.14,-1302.51,-11728.15,732.22,7796.0,-1981.7,54.83,0.0,-105.0,-1926.87,-2031.87
259,675.53,1557.36,2048.53,185.13,100.79,-101.87,-1273.26,-11582.1,718.26,7696.12,-2013.4,55.45,0.0,24.49,-1957.95,-1933.46
262,710.87,1529.19,2060.65,191.61,104.67,-121.47,-1349.79,-11624.65,701.25,7743.72,-1994.54,55.2,0.0,-53.96,-1939.35,-1993.31
265,703.63,1509.11,2063.84,186.69,97.67,-117.08,-1303.02,-11657.78,696.68,7758.19,-1991.24,55.91,0.0,-62.07,-1935.33,-1997.4
268,677.25,1564.64,2045.16,183.03,96.02,-106.16,-1331.88,-11609.21,708.59,7709.61,-2027.8,55.06,0.0,-62.94,-1972.75,-2035.68
271,671.24,1474.03,2046.01,182.41,103.74,-124.58,-1308.94,-11677.82,766.6,7768.2,-2003.88,55.43,0.0,-99.13,-1948.45,-2047.58
274,667.88,1501.48,2051.47,200.55,104.53,-106.7,-1325.53,-11650.74,737.99,7766.33,-1990.92,54.63,0.0,-52.74,-1936.29,-1989.03
277,689.73,1489.46,2065.35,183.36,99.56,-116.86,-1344.01,-11605.25,747.68,7737.17,-1990.99,54.29,0.0,-53.8,-1936.7,-1990.5
280,644.6,1485.09,2054.86,178.63,116.1,-101.44,-1319.86,-11630.89,754.39,7791.03,-2008.81,54.82,0.0,-27.49,-1953.99,-1981.48
283,638.52,1532.02,2035.7,180.35,106.25,-114.29,-1294.69,-11545.78,729.79,7730.16,-2076.42,55.49,0.0,-1.97,-2020.93,-2022.9
286,693.31,1518.83,2024.29,195.11,90.79,-98.95,-1299.84,-11550.39,724.26,7671.59,-2030.59,54.76,0.0,-31.02,-1975.84,-2006.86
289,728.76,1523.08,2041.34,191.31,95.12,-118.26,-1332.93,-11560.91,734.27,7689.68,-1985.78,55.11,0.0,-8.54,-1930.68,-1939.22
292,682.21,1478.12,2027.95,173.85,109.85,-100.33,-1321.21,-11567.13,717.02,7692.49,-2022.9,54.76,0.0,-107.18,-1968.14,-2075.32
295,655.76,1541.3,2033.44,189.05,104.19,-120.37,-1309.03,-11701.14,719.98,7693.98,-1948.57,54.93,0.0,-192.83,-1893.63,-2086.46
