Frames,TDC
1,-5.97
4,-6.41
7,-6.21
10,-10.5
13,-8.35
16,-7.75
19,-10.72
22,-9.46
25,-8.45
28,-5.84
31,-6.56
34,-8.71
37,-7.29
40,-6.74
43,-2.64
46,-5.89
49,-8.25
52,-6.92
55,-6.24
58,-9.77
61,-6.75
64,-5.8
67,-6.72
70,-6.07
73,-7.28
76,-4.18
79,-9.87
82,-5.72
85,-9.25
88,-8.09
91,-5.09
94,-8.95
97,-8.07
100,-7.94
103,-8.24
106,-8.4
109,-7.81
112,-7.45
115,-3.37
118,-4.36
121,-6.1
124,-7.12
127,-6.94
130,-7.77
133,-6.08
136,-9.33
139,-4.92
142,-6.96
145,-6.53
148,-11.08
151,-6.6
154,-6.14
157,-7.89
160,-7.96
163,-8.19
166,-7.92
169,-3.58
172,-6.27
175,-5.2
178,-5.95
181,-9.79
184,-6.36
187,-4.86
190,-8.18
193,-4.51
196,-6.7
199,-5.32
202,-8.91
205,-7.86
208,-7.95
211,-6.84
214,-7.09
217,-5.34
220,-9.24
223,-8.5
226,-4.29
229,-5.85
232,-4.31
235,-4.84
238,-6.79
241,-7.19
244,-6.86
247,-4.6
250,-7.13
253,-6.74
256,-7.8
259,-6.35
262,-7.51
265,-4.6
268,-6.98
271,-5.91
274,-8.09
277,-7.14
280,-6.63
283,-11.11
286,-9.25
289,-11.39
292,-8.53
295,-4.52
298,-4.91
301,-6.19
304,-3.83
307,-7.71
310,-7.15
313,-4.49
316,-6.71
319,-8.9
322,-6.12
325,-4.77
328,-8.87
331,-6.59
334,-6.8
337,-6.72
340,-8.07
343,-8.94
346,-7.84
349,-7.18
352,-7.68
355,-3.8
358,-3.3
361,-1.84
364,-4.54
367,1.41
370,-0.04
373,-0.02
376,-0.01
379,-0.03
382,-0.57
385,-0.0
388,-0.0
391,-0.01
394,0.0
397,-0.0
400,0.0
403,0.0
406,-0.02
409,-0.01
412,-0.0
415,-0.01
418,0.01
421,-0.01
424,0.0
427,-0.0
430,-0.0
433,0.0
436,0.0
439,0.0
442,0.0
445,-0.0
448,0.0
451,-0.0
454,0.0
457,-0.0
460,-0.0
463,0.01
466,-0.0
469,-0.0
472,-0.0
475,0.0
478,-0.0
481,0.0
484,0.0
487,0.0
490,0.0
493,-0.01
496,-0.0
499,-0.01
502,-0.0
505,-0.0
508,0.0
511,0.01
514,-0.0
517,-0.0
520,0.01
523,-0.0
526,0.0
529,0.0
532,-0.0
535,-0.0
538,0.0
541,0.0
544,0.0
547,0.0
550,0.01
553,-0.0
556,0.0
559,-0.0
562,0.0
565,0.01
568,0.0
571,0.01
574,-0.0
577,0.0
580,0.0
583,0.0
586,0.0
589,0.0
592,0.0
595,0.0
598,0.0
601,-0.0
604,-0.0
607,0.0
610,0.0
613,0.0
616,0.0
619,0.0
622,-0.0
625,-0.0
628,0.0
631,0.0
634,0.0
637,-0.0
640,-0.0
643,-0.0
646,0.0
649,-0.0
652,-0.0
655,-0.0
658,-0.0
661,0.0
664,0.0
667,0.0
670,-0.0
673,0.0
676,-0.0
679,-0.0
682,0.0
685,0.0
688,0.0
691,0.0
694,0.0
697,0.0
700,-0.0
703,0.0
706,0.0
709,-0.0
712,-0.0
715,0.01
718,0.0
721,0.01
724,0.0
727,0.0
730,-0.0
733,-0.0
736,-0.0
739,0.0
742,0.0
745,0.0
748,0.0
751,0.0
754,0.0
757,-0.01
760,-0.0
763,0.01
766,-0.0
769,0.0
772,0.0
775,0.0
778,0.0
781,0.0
784,0.0
787,-0.0
790,0.0
793,0.0
796,0.0
799,0.0
802,0.0
805,0.0
808,0.0
811,0.0
814,0.0
817,0.0
820,0.0
823,0.0
826,0.0
829,-0.0
832,0.0
835,0.0
838,0.0
841,0.0
844,0.0
847,-0.0
850,0.0
853,0.0
856,0.0
859,0.0
862,0.01
865,-0.0
868,0.0
871,-0.0
874,0.0
877,-0.0
880,0.01
883,-0.0
886,-0.0
889,0.0
892,-0.0
895,0.0
898,0.0
901,0.0
904,0.0
907,-0.01
910,-0.0
913,0.0
916,0.0
919,0.0
922,0.0
925,0.0
928,-0.0
931,0.0
934,0.0
937,-0.0
940,0.0
943,0.0
946,-0.0
949,0.0
952,0.0
955,0.0
958,0.0
961,-0.0
964,0.0
967,-0.0
970,-0.0
973,0.0
976,0.0
979,0.0
982,0.0
985,-0.0
988,0.01
991,0.01
994,0.01
997,-0.0
1000,0.0
