POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,727.45,1435.8,2064.47,191.05,98.84,-104.07,-1341.64,-11733.63,730.7,7873.68,-1980.36,52.5,0.0,-57.35,-1927.86,-1985.21
4,707.52,1518.75,2042.94,186.99,103.32,-101.76,-1395.88,-11527.72,719.54,7936.78,-2160.41,55.72,0.0,190.49,-2104.69,-1914.2
7,690.07,1505.06,2034.41,186.47,107.83,-117.57,-1314.96,-11510.97,740.5,7807.5,-2112.26,55.81,0.0,128.36,-2056.45,-1928.09
10,687.48,1530.62,2057.65,189.05,104.79,-118.96,-1325.21,-11550.25,708.64,7833.05,-2142.5,54.63,0.0,116.86,-2087.88,-1971.02
13,681.9,1547.08,2048.2,203.54,103.14,-105.94,-1355.39,-11368.32,745.9,7829.55,-2244.34,56.02,0.0,329.66,-2188.32,-1858.66
16,714.11,1545.73,2065.13,184.02,107.23,-116.69,-1330.54,-11408.49,719.02,7829.18,-2212.65,56.03,0.0,308.7,-2156.62,-1847.91
19,680.97,1572.03,2033.19,185.64,102.02,-107.81,-1326.72,-11478.01,716.21,7820.35,-2162.36,55.64,0.0,197.86,-2106.72,-1908.86
22,692.9,1583.99,2040.47,200.0,96.93,-104.79,-1330.56,-11534.97,750.78,7834.76,-2128.71,54.96,0.0,229.52,-2073.75,-1844.22
25,692.08,1515.78,2032.53,191.16,100.52,-109.82,-1340.55,-11371.78,737.89,7829.66,-2240.75,55.53,0.0,277.48,-2185.22,-1907.75
28,686.08,1516.8,2041.4,181.08,101.12,-102.77,-1334.53,-11451.9,731.87,7846.4,-2179.18,56.18,0.0,215.54,-2123.0,-1907.45
31,668.5,1539.53,2024.52,191.02,93.53,-107.17,-1343.56,-11478.45,705.79,7781.39,-2119.09,55.84,0.0,75.1,-2063.25,-1988.15
