POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,672.54,1460.76,2029.11,180.81,101.17,-109.77,-1375.84,-11739.72,708.35,7925.41,-1954.52,52.58,0.0,-147.19,-1901.94,-2049.13
4,673.13,1522.74,2036.96,178.31,106.39,-98.03,-1345.82,-11609.42,712.51,7868.34,-1998.92,54.92,0.0,45.11,-1944.0,-1898.89
7,660.16,1534.07,2032.94,186.55,101.9,-109.09,-1318.0,-11696.57,731.29,7835.76,-1942.34,54.86,0.0,-40.98,-1887.48,-1928.47
10,688.3,1502.85,2033.95,188.3,99.81,-93.94,-1341.84,-11602.64,711.62,7890.94,-2072.34,55.94,0.0,77.35,-2016.4,-1939.05
13,674.65,1468.77,2035.69,178.83,101.61,-87.88,-1338.31,-11716.94,711.93,7874.92,-1929.95,53.74,0.0,-96.74,-1876.21,-1972.94
16,692.92,1533.62,2014.77,188.56,103.87,-119.54,-1314.37,-11627.8,711.59,7802.43,-1999.61,56.0,0.0,-13.95,-1943.61,-1957.56
19,642.26,1496.97,2032.42,186.97,110.08,-96.6,-1294.86,-11724.82,731.16,7866.33,-2007.7,56.3,0.0,-50.1,-1951.4,-2001.5
22,649.72,1558.27,2019.67,193.47,102.31,-121.36,-1327.25,-11538.6,718.0,7849.08,-2102.03,57.06,0.0,103.31,-2044.97,-1941.66
25,699.85,1475.17,2053.85,190.03,103.09,-109.29,-1309.86,-11684.26,741.97,7910.22,-2057.78,56.45,0.0,70.78,-2001.32,-1930.55
28,649.73,1524.71,2021.93,187.95,101.32,-110.13,-1374.21,-11559.36,718.98,7874.78,-2070.41,54.86,0.0,35.69,-2015.55,-1979.86
31,718.03,1512.01,2041.32,190.01,101.92,-105.96,-1331.42,-11606.24,704.09,7881.07,-2082.15,56.41,0.0,104.82,-2025.75,-1920.93
34,692.63,1553.08,2046.73,188.85,105.95,-118.16,-1307.69,-11562.66,702.6,7827.03,-2064.14,56.55,0.0,128.37,-2007.59,-1879.23
37,694.74,1490.58,2042.91,187.37,103.95,-111.91,-1320.98,-11609.93,697.09,7829.4,-2047.5,56.61,0.0,3.22,-1990.89,-1987.67
40,678.2,1575.85,2018.01,190.86,105.37,-106.76,-1294.03,-11577.15,704.58,7761.28,-2048.67,56.01,0.0,56.2,-1992.66,-1936.45
43,677.86,1538.42,2038.48,190.14,96.16,-115.04,-1330.08,-11603.73,697.67,7831.18,-2018.5,55.81,0.0,21.05,-1962.68,-1941.63
46,681.96,1574.3,2079.04,188.58,102.24,-121.58,-1320.8,-11477.28,712.94,7792.56,-2060.82,55.58,0.0,211.96,-2005.24,-1793.28
49,741.55,1541.86,2002.72,194.18,101.43,-95.48,-1312.94,-11585.68,701.85,7831.19,-2054.74,55.66,0.0,120.7,-1999.08,-1878.38
52,693.76,1512.19,2066.32,191.52,114.64,-108.52,-1344.95,-11575.79,711.72,7832.88,-2054.13,54.94,0.0,93.79,-1999.19,-1905.4
55,727.16,1402.02,2050.9,184.79,103.57,-115.72,-1334.89,-11532.47,709.06,7813.9,-2044.44,55.26,0.0,8.32,-1989.18,-1980.86
58,706.76,1490.75,2049.55,188.57,92.47,-85.74,-1321.3,-11502.05,698.27,7731.95,-2047.89,55.53,0.0,49.23,-1992.36,-1943.12
