Frames,TDC
1,227.41
4,208.37
7,206.64
10,184.2
13,228.77
16,214.58
19,207.64
22,219.11
25,235.13
28,223.92
31,218.99
34,243.08
37,218.04
40,222.63
43,200.1
46,189.44
49,239.35
52,240.08
55,211.37
58,229.69
61,223.52
64,211.37
67,199.98
70,197.92
73,213.26
76,227.72
79,239.54
82,222.57
85,228.36
88,217.07
91,213.39
94,230.38
97,203.18
100,239.96
103,203.67
106,218.23
109,231.96
112,218.69
115,240.28
118,218.74
121,217.8
124,219.85
127,225.73
130,226.14
133,199.06
136,202.32
139,220.01
142,225.55
145,226.49
148,237.39
151,232.54
154,213.25
157,189.32
160,212.13
163,199.33
166,181.19
169,220.98
172,197.29
175,196.57
178,233.24
181,201.38
184,211.64
187,213.11
190,238.58
193,194.95
196,206.83
199,200.02
202,180.03
205,204.36
208,213.3
211,218.88
214,211.18
217,215.52
220,204.82
223,214.26
226,201.56
229,199.32
232,210.95
235,201.99
238,206.49
241,197.91
244,207.49
247,208.33
250,208.24
253,200.93
256,220.01
259,217.29
262,207.68
265,207.1
268,241.72
271,201.02
274,203.48
277,190.82
280,213.01
283,228.83
286,177.42
289,196.94
292,232.01
295,232.83
298,210.78
301,219.11
304,239.61
307,208.43
310,214.46
313,216.56
316,206.94
319,211.78
322,216.49
325,210.5
328,172.64
331,219.19
334,204.46
337,197.2
340,200.94
343,200.3
346,200.5
349,218.32
352,211.71
355,214.09
358,210.3
361,215.15
364,211.87
367,210.21
370,199.24
373,224.78
376,206.55
379,225.47
382,208.2
385,199.9
388,196.21
391,202.92
394,203.13
397,200.15
400,196.33
403,196.92
406,227.28
409,199.37
412,198.75
415,196.51
418,231.51
421,209.45
424,221.87
427,217.11
430,230.31
433,228.63
436,199.99
439,225.56
442,206.8
445,211.98
448,231.17
451,197.06
454,217.17
457,216.2
460,208.28
463,214.95
466,224.19
469,230.3
472,236.67
475,216.17
478,202.34
481,221.21
484,194.06
487,220.25
490,213.05
493,197.54
496,222.36
499,213.33
502,215.8
505,194.74
508,217.81
511,203.91
514,207.65
517,201.1
520,185.2
523,196.47
526,216.98
529,189.5
532,198.4
535,218.92
538,193.32
541,214.44
544,201.78
547,220.53
550,213.69
553,196.36
556,207.49
559,230.5
562,201.13
565,224.0
568,215.27
571,215.91
574,212.38
577,227.59
580,217.36
583,213.53
586,194.84
589,225.72
592,224.2
595,187.97
598,210.46
601,227.83
604,198.2
607,210.77
610,216.67
613,192.29
616,208.37
619,189.47
622,204.39
625,220.71
628,195.94
631,217.16
634,209.74
637,233.57
640,213.49
643,213.78
646,220.01
649,210.1
652,201.74
655,209.95
658,196.01
661,199.05
664,219.72
667,230.66
670,208.94
673,202.87
676,216.57
679,192.59
682,202.3
685,228.94
688,202.61
691,199.85
694,188.86
697,196.72
700,205.3
703,182.72
706,199.54
709,199.88
712,208.5
715,191.52
718,226.63
721,205.04
724,223.59
727,223.68
730,208.82
733,220.59
736,211.92
739,214.76
742,200.22
745,204.17
748,221.34
751,209.7
754,225.4
757,190.36
760,206.47
763,214.49
766,214.17
769,211.31
772,234.54
775,209.04
778,215.28
781,199.76
784,233.04
787,199.78
790,213.66
793,239.27
796,219.83
799,227.74
802,228.72
805,225.3
808,209.66
811,200.88
814,208.3
817,180.02
820,185.57
823,210.75
826,210.97
829,198.51
832,193.0
835,195.08
838,206.65
841,218.42
844,223.68
847,207.93
850,220.67
853,199.61
856,215.0
859,231.93
862,215.01
865,235.85
868,187.44
871,197.51
874,217.16
877,199.96
880,223.86
883,203.22
886,193.43
889,226.28
892,207.26
895,209.21
898,199.2
901,187.95
904,208.77
907,210.02
910,204.75
913,209.58
916,208.06
919,204.28
922,217.92
925,225.08
928,207.58
931,226.84
934,214.27
937,205.5
940,223.62
943,194.86
946,204.15
949,211.95
952,203.24
955,212.85
958,176.91
961,211.93
964,199.77
967,185.14
970,205.08
973,209.63
976,189.36
979,197.44
982,199.64
985,198.17
988,208.05
991,202.74
994,203.02
997,226.12
1000,232.64
