Frames,TDC
1,-7.53
4,-8.46
7,-10.52
10,-14.07
13,-6.59
16,-8.14
19,-6.27
22,-7.76
25,-7.82
28,-6.77
31,-8.23
34,-2.75
37,-8.85
40,-5.06
43,-9.12
46,-6.88
49,-8.14
52,-7.63
55,-5.94
58,-4.33
61,-8.27
64,-10.06
67,-9.47
70,-9.85
73,-0.71
76,-1.38
79,-2.15
82,-4.25
85,-4.42
88,-7.47
91,-6.03
94,-6.04
97,-8.4
100,-4.91
103,-8.51
106,-3.61
109,-6.91
112,-4.59
115,-7.64
118,-5.16
121,-4.66
124,-5.25
127,-6.0
130,-4.81
133,-7.16
136,-7.03
139,-3.71
142,-4.36
145,-6.89
148,-1.0
151,-4.07
154,-2.32
157,-7.13
160,-4.94
163,-3.89
166,-4.38
169,-4.88
172,-3.7
175,-4.33
178,-0.82
181,-3.63
184,-4.06
187,-2.47
190,-4.33
193,-6.87
196,-7.01
199,-8.5
202,-6.99
205,-2.77
208,-3.66
211,-5.7
214,-5.48
217,-5.88
220,-3.68
223,-5.81
226,-7.81
229,-7.19
232,-7.27
235,-8.63
238,-6.28
241,-6.67
244,-6.04
247,-4.33
250,-6.26
253,-5.53
256,-3.86
259,-4.73
262,-3.54
265,-0.75
268,-3.03
271,-2.28
274,-0.54
277,-2.62
280,-2.18
283,-4.53
286,-4.0
289,-4.61
292,-4.45
295,-4.08
298,-2.04
301,-5.2
304,-0.63
307,-3.47
310,-4.87
313,-5.91
316,-3.5
319,-3.28
322,-5.33
325,-5.71
328,-4.06
331,-3.64
334,-3.77
337,-3.95
340,-2.76
343,-5.7
346,-1.77
349,-5.59
352,-7.93
355,-6.07
358,-3.58
361,-3.39
364,-4.91
367,-1.18
370,-3.53
373,-2.07
376,-3.02
379,-6.79
382,-1.98
385,-3.8
388,-6.35
391,-5.48
394,-5.81
397,-1.27
400,-3.69
403,-5.28
406,-3.26
409,-4.73
412,-5.99
415,-5.33
418,-0.84
421,-5.16
424,-2.31
427,-6.97
430,-4.37
433,-4.86
436,-3.75
439,-5.8
442,-1.75
445,-3.58
448,-3.36
451,-5.56
454,-7.74
457,-4.24
460,-1.83
463,-3.73
466,-5.6
469,-5.48
472,-1.53
475,-5.98
478,-1.52
481,-5.93
484,-5.69
487,3.97
490,-7.22
493,-9.14
496,-4.56
499,-5.99
502,-5.5
505,-3.95
508,-5.06
511,-5.66
514,-4.74
517,-6.03
520,-5.22
523,-3.15
526,-2.72
529,-4.35
532,-3.61
535,-4.23
538,-4.46
541,-5.11
544,-7.17
547,-2.12
550,-2.8
553,-5.16
556,-4.32
559,-1.77
562,-3.83
565,-5.91
568,-2.75
571,-2.96
574,-5.7
577,-4.96
580,-2.5
583,-4.41
586,-5.91
589,-2.58
592,-4.01
595,-4.62
598,-3.8
601,-5.15
604,-6.05
607,-5.89
610,-1.16
613,-4.84
616,-5.35
619,-6.26
622,-5.19
625,-4.07
628,-7.68
631,-1.02
634,-3.84
637,-4.24
640,-7.02
643,-2.03
646,-4.81
649,-4.74
652,-3.42
655,-2.52
658,-3.63
661,-5.66
664,-4.36
667,-4.7
670,-4.21
673,-7.25
676,-4.08
679,-4.51
682,-3.58
685,-4.65
688,-4.91
691,-4.32
694,-4.46
697,-4.53
700,-2.24
703,-6.2
706,-4.95
709,-3.3
712,-3.64
715,-5.93
718,-4.31
721,-5.72
724,-4.96
727,-3.8
730,-7.83
733,-4.5
736,-0.29
739,-4.3
742,-4.35
745,-5.55
748,0.13
751,-5.84
754,-3.22
757,-4.69
760,-4.0
763,-3.53
766,-4.84
769,-2.3
772,-3.07
775,-1.62
778,-1.75
781,-3.14
784,-3.95
787,-2.06
790,-2.46
793,-5.54
796,-2.34
799,-3.41
802,-2.09
805,-2.45
808,-8.07
811,-0.29
814,-6.12
817,-6.87
820,-7.62
823,-6.52
826,-5.07
829,-6.19
832,-5.67
835,-8.11
838,-4.3
841,-4.6
844,-7.97
847,-4.87
850,-6.29
853,-6.39
856,-5.32
859,-5.27
862,-6.48
865,-3.29
868,-3.09
871,-3.79
874,-6.99
877,-6.84
880,-4.82
883,-3.65
886,-3.68
889,-4.23
892,-4.2
895,-4.37
898,-6.66
901,-4.08
904,-5.42
907,-4.82
910,-2.77
913,-3.16
916,-5.67
919,-3.62
922,-6.36
925,-1.82
928,-5.64
931,-3.34
934,-4.66
937,-4.61
940,-7.32
943,-6.04
946,-3.65
949,-3.73
952,-6.59
955,-3.33
958,-4.8
961,-5.66
964,-4.61
967,-4.2
970,-4.11
973,-3.61
976,-5.97
979,-4.11
982,-5.86
985,-4.36
988,-3.12
991,-3.43
994,-1.7
997,-3.67
1000,-3.51
