GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,694.86,1554.31,2102.12,198.97,102.54,-71.36,-1278.48,-10573.99,728.09,7263.83,-2516.82,87.91,720.88,-2428.91,-1708.03
4,697.57,1502.99,2068.53,195.57,91.74,-83.67,-1273.54,-10786.73,734.96,7283.34,-2453.63,86.37,430.78,-2367.25,-1936.47
7,760.34,1509.19,2021.19,198.52,101.16,-73.93,-1309.7,-10751.43,745.28,7269.25,-2454.98,84.57,469.88,-2370.41,-1900.53
10,691.26,1497.59,2004.74,189.3,98.0,-87.75,-1282.22,-10729.46,761.58,7188.5,-2425.76,86.22,331.54,-2339.54,-2008.0
13,711.32,1556.82,2031.83,190.84,92.15,-107.62,-1305.98,-10658.31,746.76,7231.79,-2471.74,87.36,489.61,-2384.38,-1894.77
16,667.44,1601.83,2056.57,208.21,99.34,-100.55,-1274.92,-10715.55,729.36,7258.98,-2453.65,86.2,530.7,-2367.45,-1836.75
19,666.87,1575.09,2043.27,192.45,94.01,-91.92,-1299.74,-10765.72,762.2,7237.59,-2386.85,84.95,414.09,-2301.9,-1887.81
22,682.93,1523.6,2034.62,191.2,101.25,-84.04,-1331.2,-10766.09,753.79,7290.91,-2390.04,85.03,396.97,-2305.01,-1908.04
25,701.82,1577.11,2044.25,192.78,107.64,-99.15,-1296.33,-10663.16,736.82,7213.02,-2437.97,85.44,514.79,-2352.53,-1837.74
28,671.07,1542.92,2020.03,193.55,98.09,-75.56,-1280.09,-10679.28,766.01,7298.03,-2520.15,88.45,554.78,-2431.7,-1876.92
31,684.67,1494.67,2056.54,182.88,92.65,-67.98,-1295.66,-10771.9,752.78,7243.78,-2374.28,85.99,372.43,-2288.29,-1915.86
34,691.93,1538.73,2039.16,181.67,111.77,-89.65,-1274.35,-10957.46,759.97,7234.31,-2220.94,86.69,236.09,-2134.25,-1898.16
37,698.3,1542.68,2029.69,197.71,100.48,-80.02,-1298.36,-10787.02,759.4,7251.5,-2349.23,87.22,414.36,-2262.01,-1847.65
40,734.44,1493.13,2016.3,193.8,98.37,-80.25,-1261.37,-10827.92,766.6,7207.24,-2312.42,86.57,340.35,-2225.84,-1885.5
43,706.21,1451.05,2030.52,184.41,102.96,-100.14,-1293.4,-10691.54,767.36,7247.64,-2396.74,86.63,405.09,-2310.11,-1905.02
46,742.63,1520.74,2031.45,195.6,109.32,-96.04,-1270.47,-10829.94,734.1,7218.49,-2346.48,87.07,355.87,-2259.41,-1903.55
49,697.3,1548.81,2023.96,197.64,91.1,-89.45,-1282.96,-10804.71,764.42,7319.16,-2400.19,86.16,465.27,-2314.02,-1848.75
52,715.86,1531.38,2040.39,196.71,118.25,-100.61,-1267.74,-10717.91,756.93,7280.36,-2461.31,87.75,553.61,-2373.56,-1819.95
55,655.42,1571.05,1991.24,192.98,97.6,-93.67,-1311.29,-10713.75,758.1,7273.43,-2454.16,86.58,421.11,-2367.58,-1946.47
58,712.75,1530.45,2001.11,185.94,103.63,-79.43,-1298.76,-10635.49,743.8,7185.77,-2429.45,87.61,449.76,-2341.84,-1892.07
61,685.15,1540.54,2056.91,179.69,104.89,-104.66,-1318.72,-10787.23,743.02,7333.12,-2407.33,84.43,432.7,-2322.9,-1890.2
64,701.47,1517.44,2033.08,180.92,90.71,-88.86,-1274.42,-10820.04,744.82,7266.63,-2385.31,87.02,351.73,-2298.3,-1946.56
67,695.2,1503.01,2028.09,184.75,107.71,-84.51,-1301.49,-10851.21,737.01,7289.15,-2329.03,85.08,307.72,-2243.95,-1936.23
70,689.27,1532.97,2019.66,193.67,107.76,-105.23,-1308.89,-10767.1,772.06,7280.77,-2418.58,82.77,414.93,-2335.81,-1920.88
73,706.08,1567.17,2029.53,178.94,94.1,-111.01,-1301.96,-10763.68,744.54,7184.18,-2342.13,82.88,327.87,-2259.24,-1931.37
76,680.76,1490.74,2048.78,182.38,89.19,-93.01,-1311.06,-10911.49,760.5,7311.69,-2292.32,81.54,248.49,-2210.78,-1962.3
79,710.24,1542.23,2019.81,196.36,102.32,-84.38,-1289.41,-10705.8,746.07,7196.96,-2402.46,84.79,434.41,-2317.67,-1883.26
