time,hbcount
0,4
1,7
2,5
3,10
4,10
5,9
6,5
7,8
8,4
9,5
10,8
11,12
12,10
13,2
14,2
15,3
16,3
17,3
18,1
19,3
20,4
21,1
22,3
23,3
24,0
25,4
26,2
27,3
28,2
29,4
30,4
31,3
32,3
33,1
34,1
35,4
36,5
37,1
38,2
39,2
40,2
41,0
42,2
43,1
44,1
45,1
46,2
47,3
48,3
49,2
50,3
51,0
52,1
53,0
54,0
55,0
56,4
57,0
58,3
59,5
60,2
61,3
62,4
63,0
64,3
65,6
66,1
67,1
68,1
69,0
70,4
71,8
72,12
73,2
74,7
75,4
76,3
77,1
78,6
79,6
80,4
81,0
82,4
83,3
84,2
85,1
86,2
87,1
88,0
89,5
90,4
91,3
92,3
93,3
94,3
95,0
96,4
97,4
98,1
99,0
100,5
101,0
102,0
103,0
104,1
105,2
106,0
107,0
108,0
109,0
110,0
111,0
112,1
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,1
124,1
125,0
126,5
127,0
128,0
129,0
130,0
131,6
132,0
133,0
134,0
135,0
136,0
137,0
138,5
139,3
140,0
141,1
142,0
143,0
144,1
145,2
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,1
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,2
171,0
172,2
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,10
186,1
187,2
188,1
189,0
190,0
191,0
192,0
193,0
194,1
195,1
196,0
197,0
198,0
199,0
200,2
201,4
202,0
203,1
204,1
205,2
206,4
207,8
208,2
209,2
210,2
211,2
212,0
213,3
214,4
215,1
216,4
217,1
218,2
219,1
220,1
221,6
222,1
223,1
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,1
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,2
285,6
286,6
287,2
288,3
289,1
290,5
291,0
292,0
293,6
294,5
295,0
296,4
297,3
298,0
299,3
300,0
301,0
302,3
303,1
304,0
305,1
306,2
307,4
308,4
309,0
310,4
311,1
312,6
313,2
314,2
315,4
316,7
317,7
318,4
319,6
320,7
321,8
322,2
323,3
324,3
325,3
326,1
327,2
328,4
329,6
330,8
331,7
332,3
333,0
334,0
335,0
336,0
337,4
338,1
339,4
340,5
341,6
342,2
343,0
344,0
345,1
346,2
347,3
348,5
349,2
350,4
351,3
352,3
353,1
354,4
355,5
356,2
357,1
358,3
359,0
360,0
361,1
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,1
370,0
371,0
372,0
373,0
374,0
375,0
376,1
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,4
390,0
391,0
392,1
393,0
394,0
395,0
396,0
397,0
398,3
399,0
400,1
401,5
402,3
403,2
404,0
405,0
406,0
407,0
408,0
409,0
410,0
